,FILM,IMDB,IMDB_norm,IMDB_norm_round,IMDB_user_vote_count
126,Woman in Gold (2015),7.4,3.7,3.5,17957
109,The 100-Year-Old Man Who Climbed Out the Window and Disappeared (2015),7.1,3.55,3.5,17237
76,Straight Outta Compton (2015),8.4,4.2,4.0,15982
96,Song of the Sea (2014),8.2,4.1,4.0,14067
20,"McFarland, USA (2015)",7.5,3.75,4.0,13769
8,Shaun the Sheep Movie (2015),7.4,3.7,3.5,12227
10,Far From The Madding Crowd (2015),7.2,3.6,3.5,12129
137,Danny Collins (2015),7.1,3.55,3.5,11206
66,The Gift (2015),7.6,3.8,4.0,10891
141,Mr. Holmes (2015),7.4,3.7,3.5,7367
95,The Salt of the Earth (2015),8.4,4.2,4.0,6605
41,Timbuktu (2015),7.2,3.6,3.5,6246
85,Little Boy (2015),7.4,3.7,3.5,5927
129,Amy (2015),8.0,4.0,4.0,5630
117,Testament of Youth (2015),7.3,3.65,3.5,5495
9,Love & Mercy (2015),7.8,3.9,4.0,5367
86,Me and Earl and The Dying Girl (2015),8.2,4.1,4.0,5269
92,Dope (2015),7.5,3.75,4.0,4911
31,When Marnie Was There (2015),7.8,3.9,4.0,4160
119,Phoenix (2015),7.2,3.6,3.5,3687
30,Red Army (2015),7.7,3.85,4.0,2275
144,Gett: The Trial of Viviane Amsalem (2015),7.8,3.9,4.0,1955
120,The Wolfpack (2015),7.1,3.55,3.5,1488
29,The End of the Tour (2015),7.9,3.95,4.0,1320
32,The Hunting Ground (2015),7.5,3.75,4.0,1196
118,Infinitely Polar Bear (2015),7.2,3.6,3.5,1062
121,The Stanford Prison Experiment (2015),7.1,3.55,3.5,950
68,Monkey Kingdom (2015),7.3,3.65,3.5,883
71,The Wrecking Crew (2015),7.8,3.9,4.0,732
122,Tangerine (2015),7.4,3.7,3.5,696
70,Seymour: An Introduction (2015),7.7,3.85,4.0,243
