,screen_names,created_at,texts_list
0,lcc2525,Tue Aug 28 00:08:29 +0000 2018,"Hey @Christi37584139, Thank you for the follow!"
1,lcc2525,Tue Aug 28 00:08:28 +0000 2018,"Hey @mikegatto, Thank you for the follow!"
2,lcc2525,Mon Aug 27 22:19:33 +0000 2018,@mayawiley Congrats! @MSNBC
3,lcc2525,Mon Aug 27 20:02:51 +0000 2018,New from Pew Research: America’s public school teachers are far less racially and ethnically diverse than their stu… https://t.co/VLFoQgIf6V
4,lcc2525,Mon Aug 27 10:49:04 +0000 2018,"Hey @ankarayazifilm, Thank you for the follow!"
5,lcc2525,Mon Aug 27 09:05:36 +0000 2018,RT @MaxBoot: As I wrote: “Trump hated McCain and insulted him at every turn because McCain was everything Trump is not — and everything tha…
6,lcc2525,Mon Aug 27 08:04:08 +0000 2018,RT @HillaryPix: On Sunday morning Hillary Clinton took to Twitter to urge people to participate in nationwide protests organized by pro-cho…
7,lcc2525,Mon Aug 27 08:02:08 +0000 2018,RT @joncoopertweets: DISGUSTING: Arizona GOP Senate candidate Kelli Ward accuses John McCain of announcing that he was dying in order to pu…
8,lcc2525,Mon Aug 27 08:00:53 +0000 2018,RT @EllaO86: @sirDukeDevin https://t.co/yirkMKTfVk
9,lcc2525,Mon Aug 27 08:00:21 +0000 2018,RT @Daybreaker77: @Greeninthemiddl @amg1335 @sirDukeDevin This is relevant here: https://t.co/sykU1Gm7zt
10,lcc2525,Mon Aug 27 07:55:54 +0000 2018,"RT @sirDukeDevin: Apparently Ted Cruz is avoiding debating Beto O'Rourke.

RT if you think Cruz seems a little intimidated."
11,lcc2525,Mon Aug 27 07:55:39 +0000 2018,"RT @DogginTrump: This soulless bitch Kelli Ward, who is running for dead hero, John McCains seat, said a few months ago that McCain should…"
12,lcc2525,Mon Aug 27 07:51:56 +0000 2018,RT @appesha: All 10 @JudiciaryDems given possibility of criminal wrongdoing by the #President doubts that Judge #Kavanaugh believes a presi…
13,lcc2525,Mon Aug 27 06:49:09 +0000 2018,"Hey @thamerhadi1, Thank you for the follow!"
14,lcc2525,Mon Aug 27 04:49:15 +0000 2018,"Hey @G2b__, Thank you for the follow!"
